#key	synopsis
Aero Fighters (USA)	L'avenir du monde repose sur vos talents de combattant et votre détermination sans faille en tant qu' aviateur de chasse . Défendez la Terre contre des forces extraterrestres inconnues qui tentent de la conquérir. Vous devez neutraliser ces forces avant qu'elles ne mènent à bien leur plan de domination. Une fois ces forces vaincues, la bataille se poursuit dans l'espace, là où l'« intelligence dirigeante » a orchestré cette tentative de prise de pouvoir. Vous devez traquer et détruire cette force maléfique pour l'empêcher de s'emparer d'autres mondes.
Aero the Acro-Bat (USA)	Le clown Edgar Ektor veut anéantir le cirque dans lequel il travaille. Aero, une chauve-souris rouge qui vit et travaille elle aussi dans ce cirque, va tout faire pour l'en empêcher. A travers plusieurs niveaux dans ce décor, elle saute dans des canons, fait du monocycle, et joue au funambule, jusqu'à arriver à Edgar Ektor pour tenter de déjouer ses plans.
Aero the Acro-Bat 2 (USA)	Le clown Edgar Ektor a survécu et revient avec d'autres plans encore plus maléfiques. Aero quitte alors le cirque pour partir à sa recherche et le détruire pour de bon. En dehors du cirque, encore plus de machines et d'objets aident Aero à progresser dans les niveaux.
Aerobiz (USA)	Dans Aerobiz sur Super NES, vous êtes à la tête d'une compagnie aérienne. Sur une période de 32 ans (de 1967 à 1995 ou de 1983 à 2015) vous devez tout faire pour devenir numéro 1 du secteur. Après avoir choisi une ville pour établir votre quartier général, 22 aéroports devront être ralliés. Pour maintenir un profit chaque année, il faut réaliser des choix stratégiques et faire face aux événements mondiaux tels que les guerres ou les Jeux Olympiques, mais aussi d'éventuelles catastrophes naturelles.
Aerobiz Supersonic (USA)	Nous sommes au début du XXIe siècle et la concurrence dans le secteur aérien s'intensifie. En tant que jeune PDG ambitieux, c'est à vous de veiller à ce que votre compagnie aérienne survive et ne soit pas une victime de plus. Pour réussir, vous devrez prendre des décisions difficiles, notamment concernant les destinations à desservir, les avions à acheter et la manière d'attirer des visiteurs dans les villes que vous desservez. Votre objectif : démarquer votre compagnie aérienne de la concurrence tout en réalisant des bénéfices. Préparez-vous à prendre des décisions difficiles ! Si vous faites les bons choix, vos avions domineront le ciel du XXIe siècle !
AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan)	A.III est le troisième volet de la série A-Train. Il s'agit d'une simulation de gestion ferroviaire sur Super Nintendo qui vous donne les commandes d'une compagnie de trains. A vous de prendre les bonnes décisions pour faire prospérer votre entreprise et la placer en tête du secteur.
Air Cavalry (USA)	Vous êtes aux commandes d'un hélicoptère de guerre appartenant à la division de l'Air Cavalry. L'écran splitté affiche une vue à la troisième personne sur la partie supérieure, utilisant le fameux Mode 7 de la console, et une vue du tableau de bord sur la partie inférieure. Il y a trois campagnes se déroulant respectivement : au Moyen-Orient, en Indonésie et en Amérique centrale. Il est aussi possible de jouer à deux en s'affrontant ou bien en coopérant.
Akagawa Jirou - Majo-tachi no Nemuri (Japan)	Ce jeu racontent l'histoire de Toshio, un employé qui, sur son lieu de travail, reçoit un appel demandant de l'aide. Au bout du fil se trouve Yoriko, une jeune fille qu'il connaissait étant enfant. Le lendemain, il découvre que cette même fille s'est immolée. Toshio décide alors d'aller enquêter sur cette mort et se rend dans le village montagnard de la jeune fille. Le roman propose au joueur des choix à faire à des moments précis qui le mèneront vers plusieurs fins différentes, la meilleure fin étant évidemment l'aboutissement de l'enquête.
Akazukin Chacha (Japan)	Akazukin ChaCha est un soft un peu hybride entre le jeu d'aventure à la Zelda et le RPG allégé en sucre. Il s'agit de diriger ChaCha et ses potes au travers de huit chapitres, chacun se concluant par l'affrontement contre un boss.
Al Unser Jr.'s Road to the Top (USA)	Un jeu de course où il vous faudra progresser en débutant par la conduite de karts pour terminer par celle des Indy cars, en passant par des compétitions de motoneige et d'IROC. Si le joueur est suffisamment doué, son challenge final sera d'affronter la légende de l'Indy car, Al Unser Jr, dans la finale de Vancouver. Il est bien évidemment possible de s'entraîner séparément dans chacune des courses, à l'exception de la dernière.
Aladdin (World) (Disney Classic Games)	Depuis des années, Jafar, le maléfique conseiller du sultan, est à la recherche d'un trésor magique : une lampe unique qui détient la clé du plus grand pouvoir au monde. Alors qu'il se rapproche de son but, Jafar apprend qu'une seule personne au monde peut s'emparer de la lampe magique dans la redoutable Grotte aux Merveilles : celle dont les haillons cachent un cœur pur, un diamant à l'état brut ! Rejoignez Aladdin et son singe de compagnie Abu, alors qu'ils se précipitent à travers le marché vers leur rendez-vous avec le destin. Regardez comment Jafar piège notre héros et son ami pour qu'ils aillent chercher la lampe dans la dangereuse Caverne aux Merveilles. Mais Aladdin et Abu déjouent Jafar, libérant ainsi le pouvoir d'un génie bleu farfelu ! Aladdin aura l'occasion de contrecarrer les plans sournois de Jafar et de gagner la main de la belle princesse Jasmine. Mais il faudra plus que de la magie pour que ses vœux se réalisent...
Albert Odyssey (Japan)	Albert Odyssey est un jeu de rôle sur SNES. Vous incarnez Albert, un brave guerrier, et aidez la magicienne Sophia à venger la mort de ses parents. Vous partez ainsi à la poursuite d'Oswald le magicien diabolique et de son armée de dragons et de gobelins. Les batailles se déroulent comme dans un jeu de stratégie tour par tour et vous devrez gérer votre équipe au complet pour l'emporter.
Albert Odyssey 2 - Jashin no Taidou (Japan)	A l'instar de son prédécesseur, Albert Odyssey 2 : Jashin No Taidou est un jeu de rôle sur Super Nintendo. L'aventure a lieu dix ans après le premier épisode. Encore une fois, le dieu noir Okutoba menace la paix et Dean, le héros, devra accomplir des exploits afin d'éviter le pire. Le joueur évoluera dans un univers 2D, alternant vue plongeante et vue à la première personne lors des combats.
Alcahest (Japan)	Il y a très longtemps, le dieu démon Alcahest étendit son emprise sur le monde. Mais il fut vaincu par un héros légendaire inconnu, qui, aidé des 4 esprits gardiens des éléments, put surpasser la force du démon. Mais l'ombre vient de ressurgir à nouveau sur les terres, et un cruel empereur désire conquérir le monde. Sur les cimes d'une montagne paumée, un jeune aventurier est accosté par un mystérieux personnage, voulant faire de lui un serviteur d'Alcahest. Mais miraculeusement, un étrange esprit le sauve de la mort...
Alice no Paint Adventure (Japan)	Plutôt que de nous refaire encore une fois le coup du portage du dessin animé en jeu de plates-formes, Epoch avait eu une idée aussi originale que saugrenue : pourquoi ne pas faire à la fois un jeu de coloriage et un point'n click ? En choisissant la première option du menu, le joueur a accès à une sorte de vague point'n click. Il s'agit d'une suite de scènes fixes agrémentées de dialogues, avec lesquelles le joueur a une très légère possibilité d'interaction. La seconde option du menu est le coloriage. On a le droit à un choix de dessins en noir et blanc, à colorier soi-même comme un grand.
Alien 3 (USA)	Les ALIENS sont rapides, crachent de l'acide et sont juste derrière toi ! Le détecteur de mouvement est ton seul avertissement. Pas le temps de réfléchir, pas le temps de reprendre ton souffle… COURS ! On ne voit pas très loin devant soi dans ces conduits d'aération. Difficile de respirer. Les « face-huggers » peuvent être n'importe où. Tu as la puissance de feu... Élimine les ALIENS avec ta mitrailleuse, ton lance-flammes et ton lance-grenades. Tu sais ce que tu dois faire... Sauve les prisonniers piégés et mets fin à ce cauchemar ! Continue simplement à te dire : « Ce n'est pas vraiment en train d'arriver. Ce n'est qu'un jeu !!! »
Alien vs Predator (USA)	Alien vs Predator est l'adaptation de la série de comics américains. Vous incarnez un Predator arrivé sur une planète découverte par des humains, afin de chasser les aliens. Pour détruire ses ennemis, le Predator dispose de plusieurs armes dont une attaque spéciale causant de gros dégâts autour de lui. Des boss doivent être détruits à la fin de la plupart des niveaux.
Amazing Spider-Man, The - Lethal Foes (Japan)	The Amazing Spider-Man: Lethal Foes s'inspire du dessin animé Spider-Man de l'époque et oppose Spider-Man à plusieurs de ses anciens ennemis ainsi qu'à une armée de Spider-Slayers. Spider-Man peut attaquer en enchaînant des coups au corps à corps ou en projetant des boules de toile. Il peut ramper sur n'importe quel mur ou plafond et se balancer à l'aide de ses fils de toile s'il dispose d'un espace suffisant. L'histoire est racontée à travers des scènes de dialogue avec le boss du niveau ainsi qu'avec les alliés de Spider-Man à la fin de chaque niveau.
America Oudan Ultra Quiz (Japan)	America Oudan Ultra Quiz est une série de jeux vidéo exclusivement Japonnais, basé sur le jeu télévisé du même nom et diffusée sur Nippon Television.
American Battle Dome (Japan)	American Battle Dome est un jeu de flipper. Seulement voilà, plutôt que de faire simple, les développeurs nous proposent un flipper d'un genre un peu particulier, puisqu'il se pratique à quatre. Non, pas à quatre l'un après l'autre, à quatre en même temps ! Le but du jeu est très simple : lorsque une bille vous fonce dessus, il faut la renvoyer au moyen des flips. Tout se joue uniquement à la croix directionnelle, les directions gauche et droite permettant de faire remuer les flips idoines. Il faudra essayer de renvoyer la bille vers l'un des adversaires, mais les tourniquets sont là pour dévier la trajectoire des billes.
American Gladiators (USA)	Comme dans le show original, des gladiateurs des temps modernes doivent montrer leurs capacités physiques dans des épreuves aussi délirantes que difficiles. En incarnant un personnage candidat à l'émission, vous affrontez une dizaine de bodybuildeurs ou ex-sportifs de haut niveau, sur des murs d'escalade, dans des duels de joute ou encore dans la très célèbre épreuve Powerball.
American Tail, An - Fievel Goes West (USA)	Adaptation du deuxième épisode du dessin animé de Don Bluth, vous prendrez en main la destinée du dernier né de la famille Mousekewitz, la tête pleine de rêves de désert, de duels dans les rues poussiéreuses et d'étoiles de shérif, qui doit rejoindre sa famille émigrée à l'autre bout du continent américain, dans le mythique Far West. Mais tout comme le mythe d'une Amérique sans chats n'avait pas fait long feu une fois les souris russes arrivées au port de New-York, le Far West est lui aussi sous la coupe des cruels félins, et plus particulièrement d'un chef de gang nommé Cat R. Waul.
Ancient Magic - Bazoe! Mahou Sekai (Japan)	Ancient Magic - Bazoo! Mahou Sekai est un RPG (jeu de rôle) très classique disponible sur Super Nintendo. Vous incarnez un jeune guerrier qui souhaite devenir un grand magicien, comme son père. Sa quête l'amènera à traverser les continents du monde, tout en éliminant des hordes d'ennemis dans un système de combat au tour par tour en vue de côté.
Andre Agassi Tennis (USA)	André Agassi Tennis vous propose d'incarner huit joueurs et joueuses, sur gazon, terre battue, ainsi que sur surface rapide. Le &quot;Kid de Las Vegas&quot; est le seul vrai joueur présent. Smashes, passing shots, vollées sont au programme. De la précision de votre placement et de votre timing dépend la réussite de vos coups dans ce jeu à la maniabilité exigeante.
Angelique (Japan)	Vous incarnez Angelique qui a été contactée par la reine Angelique (toutes les reines portent ce nom) pour justement vous mettre à l'épreuve et voir si vous pouvez prendre sa succession sur le trône. Vous devez gérer votre population correctement pour espérer devenir reine. Mais attention à ne pas tomber amoureuse ! Si vous choisissez l'amour, vous vivrez heureuse mais vous ne pourrez pas devenir reine, !
Animaniacs (USA)	Animaniacs est l'adaptation de la série d'animation des studios Warner. Minus et Cortex ont élaboré un nouveau plan pour conquérir le Monde, ils ont dérobé le script du prochain film de la compagnie. M. Plotz, le PDG de la Warner demande à Yakko, Wakko et Dot de retrouver les 24 parties du script. Un seul des trois frères et soeur peut être contrôlé à la fois, cependant les trois sont visibles à l'écran et peuvent se faire capturer par le vigile Ralph.
Aoki Densetsu Shoot! (Japan)	Aoki Densetsu Shoot! est donc un jeu de foot. Enfin, jeu de foot si on veut, on est à peu près aussi loin d'un ISS que la série est loin d'un documentaire sur ce sport. Disons que ça en a vaguement l'aspect, mais qu'on attend les résultats de l'analyse d'ADN pour confirmation. Le menu de base propose trois options : jouer, régler divers paramètres, ou regarder des matches types entre deux équipes jouées par l'ordinateur. Une fois dans le match à proprement parler, les contrôles sont relativement simples. En défense, vous prenez le contrôle du joueur le plus proche du ballon, goal compris (ce n'est pas vous qui choisissez le joueur, l'ordinateur s'en charge) et vous pouvez effectuer un tacle glissé au moyen du bouton A. En attaque, vous contrôlez le porteur du ballon, forcément. Vous tirez au moyen du bouton A, centrez avec B et passez avec X.
Appleseed - Prometheus no Shintaku (Japan)	La Troisième Guerre mondiale est terminée, et la soldate nomade Duenan Knute ainsi que son partenaire cyborg Briareos luttent pour survivre dans les villes abandonnées et les zones démilitarisées du désert post-guerre, le « Badside ». La situation semble toutefois s'améliorer lorsqu'ils sont retrouvés et emmenés à Olympus, une utopie urbaine et le centre névralgique de la reconstruction de la civilisation. Duenan et Bri rejoignent la police d'Olympus, une force qui semble à peine nécessaire dans un tel paradis. Mais, comme dans la plupart des beaux tableaux, la perfection n'est qu'une illusion, et la façade paisible d'Olympus cache un sombre secret, une lutte violente entre humains et cyborgs qui pourrait replonger le monde dans la guerre… et le génocide.
Arabian Nights - Sabaku no Seirei Ou (Japan)	Au Moyen-Orient, les cinq filles du sultan ont disparu. Dans Arabian Nights , vous devrez les retrouver avant l'aube grâce à Ali. Doté de trois attaques différentes, mains nues, sabre, lancer de couteaux ou encore de sorts magiques, le héros doit délivrer les cinq princesses au fil des missions qui se succèdent durant la nuit.
Araiguma Rascal (Japan)	Le but du jeu est d'éliminer les pots de confiture qui s'entassent à intervalle régulier, en les faisant correspondre. Ainsi, si trois pots identiques forment une ligne horizontale ou verticale, ils disparaissent. Simple ? Que nenni. Déjà parce qu'on ne déplace pas directement les pots comme on déplace les formes dans Tetris. Ici c'est le raton-laveur que l'on dirige (ou Sterling pour le deuxième joueur) : le bouton X permet de sauter et le bouton A d'attraper un pot puis de le relâcher. La croix permet de diriger Rascal. Là où ça se complique, c'est qu'au fur et à mesure, les pots vont de toute façon s'entasser. Si la bestiole se retrouve coincée, vous avez perdu. Un principe très simple mais diablement addictif, comme dans tout bon puzzle game.
Arcade's Greatest Hits - The Atari Collection 1 (USA)	Au début des années 1990, les fondateurs de Digital Eclipse ont tenté avec réussite d'émuler trois jeux d'arcade de Williams Electronics sur l'ordinateur Macintosh, en l'occurrence Joust, Defender et Stargate. Ils ont montré le résultat à Williams qui a passé un partenariat avec eux pour qu'ils portent leur catalogue sur les systèmes familiaux comme la Super Nintendo.
Arcana (USA)	Une jeune fille amnésique prévient de l'explosion imminente d'une bombe. Après l'explosion, la police l'interroge et celle-ci révèle avoir appris cela par des esprits. Au fur et à mesure de leur rencontre, l'inspecteur Murakami s'attache à la jeune fille et découvre l'étendue de ses capacités hors du commun. Est-elle vraiment humaine ?
Archer Maclean's Super Dropzone (Europe)	Vous contrôlez un astronaute qui doit ramasser des petits engins un par un et les remettre dans la base. Il est muni d'un fusil pour se défendre des ennemis qui apparaissent aléatoirement pour l'en empêcher. Vous devez également éviter les rochers rejetés par les volcans. Attention à ne pas vous faire toucher, car vous explosez au moindre impact.
Arcus Spirits (Japan)	Un millénaire plus tôt, le royaume d'Arcus était sur le point de tomber sous la coupe de la sorcière Castomira, bien décidée à transformer la contrée en une terre de chaos et de désolation. Heureusement la princesse Leaty, petite-fille du légendaire Roi de Lumière, parvint à la vaincre et la scella au moyen d'une épée, la Puissance de Leaty, qu'elle confia ensuite au roi d'Arcus. Mille ans plus tard, les séides de la sorcière ont volé l'épée, et Castomira est sur le point de se libérer. Il ne tient qu'à quatre héros par trop archétypiques d'empêcher cet état de fait. Arcus Spirits est un jeu d'action mâtiné d'aventure, qui fonctionne grosso-modo sur le même schéma que le vénérable Gauntlet. En pratique, il s'agit de traverser moult décors labyrinthiques vus de trois-quarts en massacrant tout ce qui bouge, et tout ce qui ne bouge pas histoire de faire bonne mesure.
Ardy Lightfoot (USA)	Dans ce jeu de plateforme en 2D, vous incarnez Ardy Lightfoot, une créature ressemblant à un chat, accompagné de votre ami Pec, un pingouin bleu qui vous aidera à vaincre les ennemis. Votre objectif est de retrouver les sept fragments de l'arc-en-ciel sacré. Chaque fragment est disséminé dans divers mondes colorés peuplés d'ennemis et de boss étranges et amusants. Vous devrez retrouver tous les fragments afin d'affronter un redoutable ennemi dans le dernier niveau. À certains moments du jeu, vous recevrez un peu d'aide de vos amis, tels que Nina et un mystérieux aventurier nommé Don Jacoby.
Aretha (Japan)	Aretha est un jeu de rôle prenant place dans un monde marqué par une guerre remportée par un roi diabolique. Vous incarnez la petite Ariel, qui vient tout juste d'avoir 10 ans. Sa grand-mère l'envoie chercher quelqu'un à qui elle doit parler dans une ville voisine, mais ce qui semblait être une tâche facile va se transformer en une véritable quête épique où Ariel va devoir chercher les pouvoirs d'Aretha afin de trouver son identité et mettre fin au règne du roi.
Aretha II - Ariel no Fushigi na Tabi (Japan)	Aretha II : Ariel No Fushigi Na Tabi sur Super Nintendo est un jeu de rôle qui suit directement le scénario de Aretha premier du nom. Vous incarnez la princesse d'un royaume qui a eu écho de la disparition de deux aventuriers ainsi que des menaces de leurs agresseurs qui souhaitent faire sombrer le pays dans le chaos. La princesse décide alors de partir à l'aventure afin de mettre au clair cette histoire.
Arkanoid - Doh It Again (USA)	Arkanoid, un des jeux les plus populaires au monde, est enfin de retour avec de nouvelles options et de nouveaux défis. Testez vos réflexes sur l'un des 99 niveaux du mode Puzzle ou créez votre propre niveau en mode Edit. Neuf capsules donneront à votre vaisseau de nouvelles capacités. Deux joueurs peuvent également s'affronter dans trois modes différents. Arkanoid fait enfin son grand retour et va vous propulser au-delà des frontières du réel!
Armored Police - Metal Jack (Japan)	Kikou Keisatsu Metal Jack est un jeu de combat à défilement horizontal inspiré de l'anime du même nom. Au début du jeu, le joueur peut choisir entre Red Jack, Silver Jack et Blue Jack. Red Jack et Silver Jack disposent tous deux d'armes pour lesquelles ils peuvent trouver des munitions dans les niveaux (un pistolet et une matraque, respectivement), et les trois personnages peuvent effectuer des combos à coups multiples ou des attaques en sautant. À la fin d'un niveau, le Jack est rejoint par son véhicule, qui fusionne alors avec son armure. Sous cette forme, les attaques du Jack sont renforcées et il peut charger une attaque qui touche tous les ennemis à l'écran. Le jeu ne propose aucune histoire, donc si vous voulez savoir ce qui se passe, vous devrez vous procurer l'anime.
