#key	name	year	genre	developer	players
Ready 2 Rumble Boxing - Round 2 (USA)	Ready 2 Rumble Boxing : Round 2	2000	Sports / Boxing/Sports	Point of View	1-2
Resident Evil 2 (USA)	Resident Evil 2	1999	Adventure / Survival Horror/Adventure	Angel	1
Riqa (Europe) (Proto) (2000-02-14)	Riqa	2000	Action / Adventure/Action	Bits Studios Ltd.	1
Road Rash 64 (USA)	Road Rash 64	1999	Racing, Driving	Pacific Coast Power & Light	1-4
Roadsters (USA) (En,Fr,Es)	Roadsters	1999	Racing, Driving	Titus	1-4
Robot Poncots 64 - 7tsu no Umi no Caramel (Japan)	Robot Poncots 64 : 7tsu no Umi no Caramel	1999	Role Playing Game	Hudson Soft	1
Robotech - Crystal Dreams (USA) (Proto 2)	Robotech : Crystal Dreams	1998	Shooter / Vehicle, FPV/Shooter	GameTek	1-4
Robotron 64 (USA)	Robotron 64	1998	Shooter	Player 1	1
Rocket - Robot on Wheels (USA)	Rocket : Robot On Wheels	1999	Platform / Run & Jump/Platform	Sucker Punch Productions	1
RR64 - Ridge Racer 64 (USA)	Ridge Racer 64	2000	Racing, Driving	Nintendo	1-4
Rugrats - Scavenger Hunt (USA)	Rugrats : Scavenger Hunt	1999	Board game	Realtime Associates	1-4
Rugrats in Paris - The Movie (USA)	Rugrats in Paris : The Movie	2000	Action / Adventure/Action	Avalanche Software	1-4
Rush 2 - Extreme Racing USA (USA)	Rush 2 : Extreme Racing USA	1998	Racing, Driving	Midway	1-2
S.C.A.R.S. (USA)	S.C.A.R.S.	1998	Racing, Driving	Vivid Image	1-4
Saikyou Habu Shougi (Japan)	Saikyou Habu Shougi	1996	Shougi/Asiatic board game	SETA	1
San Francisco Rush - Extreme Racing (USA) (En,Fr,De)	San Francisco Rush : Extreme Racing	1997	Racing, Driving	Midway	1-2
San Francisco Rush 2049 (USA)	San Francisco Rush 2049	2000	Racing, Driving	Midway	1-4
Scooby-Doo! - Classic Creep Capers (USA)	Scooby-Doo! : Classic Creep Capers	2000	Action / Adventure/Action	Terraglyph Interactive Studios	1
SD Hiryuu no Ken Densetsu (Japan)	SD Hiryuu no Ken Densetsu	1999	Fighting / Versus/Fighting	Culture Brain	1-2
Sesame Street - Elmo's Letter Adventure (USA)	Sesame Street : Elmo's Letter Adventure	1999	Educational/Adventure	Realtime Associates	1
Sesame Street - Elmo's Number Journey (USA)	Sesame Street : Elmo's Number Journey	1999	Adventure	Realtime Associates	1
Shadow Man (USA)	Shadow Man	1999	Action / Adventure/Action	Acclaim Entertainment	1
Shadowgate 64 - Trials of the Four Towers (USA) (En,Es)	Shadowgate 64 : Trials of the Four Towers	1999	Puzzle	Infinite Ventures	1
Shin Nihon Pro Wrestling Toukon Road - Brave Spirits (Japan)	Shin Nihon Pro Wrestling Toukon Road : Brave Spirits	1998	Sports / Wrestling/Sports	Yuke's	1-2
Shin Nihon Pro Wrestling Toukon Road 2 - The Next Generation (Japan)	Shin Nihon Pro Wrestling Toukon Road 2 : The Next Generation	1998	Sports / Wrestling/Sports	Yuke's	1-2
SimCity 2000 (Japan)	SimCity 2000	1998	Build And Management/Simulation	Genki	1
SimCopter 64 (USA) (Proto) (E3 1997)	SimCopter 64	1997	Simulation / Vehicle/Simulation	Maxis Software	1
Snowboard Kids (USA)	Snowboard Kids	1998	Sports / Skiing/Sports	Racdym	1-4
Snowboard Kids 2 (USA)	Snowboard Kids 2	1999	Sports / Skiing/Sports	Racdym	1-4
South Park (USA)	South Park	1998	Shooter / FPV/Shooter	Iguana Entertainment	1-4
South Park - Chef's Luv Shack (USA)	South Park : Chef's Luv Shack	1999	Casual Game	Acclaim Entertainment	1-4
South Park Rally (USA)	South Park Rally	2000	Racing, Driving	Tantalus Media	1-4
Space Invaders (USA)	Space Invaders	1999	Shooter / Space Invaders Like/Shooter	Z-Axis	1-2
SpaceStation Silicon Valley (USA)	Space Station Silicon Valley	1998	Platform	DMA Design	1
Spider-Man (USA)	Spider-Man	2000	Action / Adventure/Action	Edge of Reality	1
Star Fox 64 (USA)	Star Fox 64	1997	Shooter / Vehicle, TPV/Shooter	Nintendo	1-4
Star Soldier - Vanishing Earth (USA)	Star Soldier : Vanishing Earth	1998	Shoot'em Up / Vertical/Shoot'em Up	Hudson Soft	1
Star Wars - Rogue Squadron (USA)	Star Wars : Rogue Squadron	1998	Shooter / Vehicle, TPV/Shooter	Factor 5	1
Star Wars - Shadows of the Empire (USA)	Star Wars : Shadows of the Empire	1996	Shooter / TPV/Shooter	LucasArts	1
Star Wars Episode I - Battle for Naboo (USA)	Star Wars : Episode I - Battle for Naboo	2000	Shooter / Vehicle, TPV/Shooter	Factor 5	1
Star Wars Episode I - Racer (USA)	Star Wars Episode I : Racer	1999	Racing, Driving	LucasArts	1-2
StarCraft 64 (USA)	StarCraft 64	2000	Strategy	Mass Media	1-2
