#key	synopsis
Bio F.R.E.A.K.S. (USA)	The future is now... America and her government are in ruins after the Techno-Industrial civil wars. Technology has spiraled out of control, spawning a new breed of citizens: the BIOF.R.E.A.K.S. Choose from 8 F.R.E.A.K.S. Each is armed for battle with his or her own arsenal, including pulse lasers, grenade launchers, stun guns, swords and machine guns. Battle in three story, multi-tiered arenas! Watch out for hazards such as lava pits, meat grinders and spinning blades.
Blast Corps (USA)	Blast Corps is a mix of an action and a puzzle game where destruction is key. At the start of each level the player is given a certain vehicle (ranging from robotic suits, trucks, or bulldozers), and are told to clear the path for the Carrier. Players need to use their heavy-duty equipment to destroy any buildings, structures, or monuments that stand in the path of the Carrier. The difficulty increases as progress is made, though. Smaller vehicles don't affect certain buildings, and sometimes its not even a building that's in the way. The player must use the resources around them to clear the path. Players may need a train flatbed to fill a gap, or a crane to move boxes out of the way. The Carrier is always moving, so once the player is done destroying one obstruction, they must get to the next one quickly. While players pursue their mission they must also find six scientists scattered throughout the globe to form a think-tank to solve the problem. The Carrier has to leave Earth, and it's your job to ensure that it does!
Blues Brothers 2000 (USA)	This platformer with a Blues Brothers theme loosely follows the plot of the film. You have to escape the prison and get the band back together in order to participate to the &quot;Battle of the Bands&quot; competition. You accomplish that by jumping over obstacles, beating a lot of people and collecting coins, notes, wrenches, keys and whatnot in four levels; Prison, Chicago, Graveyard & Swamp. After each level you will free one new band member. Additionally, they throw in some rhythm action, where you have to press the right buttons at the right time in order to proceed. The game features multiplayer, but you only get to play the rhythm mini-game.
Body Harvest (USA)	In 2050 AD, the earth has been taken over by horrible aliens, who long ago planted the humans there to later devour, and the last remains of humanity are working on a desperate plan - to send a genetically engineered soldier back into the past, and help hold back the invasion. But, as the final preparations for this Alpha Command operation are underway, alarms light up in the orbital control-station where the last humans hide - the aliens are back for dinner... You have to explore the world, through ancient ruins and deserted lands, find hidden secrets, drive all kinds of vehicles and stand against the alien invasion to save the earth.
Bomberman 64 (Japan)	Bomberman 64 Arcade Edition is based more on the SNES Bomberman titles, and is fully 2D without any 3D graphics. The main &quot;Bomberman Mode&quot; features standard Bomberman gameplay, but also features multiple exits per room, and thus branching paths. Multiplayer also features &quot;Tandem Mode&quot;, where two players work together. Up to four players can play multi-player mode.
Bomberman 64 (USA)	The evil Altair is using the Omni Cube to drain the energy from Planet Bomber. With the aid of a mysterious helper, you must defeat Altair, and restore peace to Planet Bomber. In the Adventure mode, guide Bomberman through twenty-four areas of perilous conflict. Battle Altair's sinister allies, destroy their bases, and put an end to the insane attack. The multi-player Battle mode offers endless explosive action!
Bomberman 64 - The Second Attack! (USA)	While taking a well earned break from bombing, Bomberman finds himself being sucked into a black hole, created by Rukifellth's gravity generators. It seems the evildoer uses the gravity generators to enslave planets, while hoping to find one of seven powerful stones by which he plans to rule the planet with. Combining puzzle solving with the classic Bomberman bomb-and-run gameplay, the game gives you control on Bomberman with the mission of destroying the gravity generators ending Rukifellth's plans.
Bomberman Hero (USA)	This is another game in Bomberman series. Now you have to prevent the demolishing of Planet Bomber by evil Nitros and to acquire a computer disk from robot Pibot. As always you have to place the bomb in right location to destroy enemies, breaking walls, etc. Here are the five different planets, 71 levels, 20 useful items, several special vehicles and your bombs.
Bottom of the 9th (USA)	Play Exhibition and Season modes as your favorite team from the Major League Baseball. 300 real life players, complete with a full list of stats, are included for this combination of simulation and arcade style baseball. Along with the usual assortment of playing options, you can also play some scenario simulations, where each scenario is based on a real life occurence in the MLB. For example, hit a home run with the last ball of the match, or stop a team from scoring in the final inning to complete each scenario. Traning and support for 2 player multi-player are also available.
Brunswick Circuit Pro Bowling (USA)	Choose from one of the 13 genuine tournament bowlers and go to work! With real lanes, real player animations, real lane conditions and changes, real bowling balls (genuine Brunswick!) and more! Full 3D environment brings the game to life, and all the tournament rules are available, even the Brunswick &quot;Skins&quot; game.
